StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q56,gender,minority,education,age,province,district,income,income_source,religion,Q10_10_TEXT,ideology,treatment_c_100km_full,treatment_c_5km_full,treatment_sec_econ_100km_full,treatment_sec_econ_5km_full,treatment_econ_100km_full,treatment_econ_5km_full,treatment_sec_100km_full,treatment_sec_5km_full,dem_gov,coop_peace_security,coop_econ,trustworthy_gov,Q17,relations_russia,relations_neighbors,american_gov,american_people,american_inf_amount,american_inf_qual,chinese_gov,chinese_people,chinese_inf_amount,chinese_inf_qual,german_gov,german_people,german_inf_amount,german_inf_qual,american_troops,troops_econ_nat,troops_econ_loc,troops_pub_saf,troops_sec_threats,troops_dem,troops_rights,contact_pers,contact_pers_type,contact_pers_type_text,contact_nonpers,contact_nonpers_type,contact_nonpers_type_text,benefit_pers,benefit_pers_rely,benefit_nonpers,benefit_nonpers_rely,troops_feel_safer,troops_host_benefit,troops_host_benefit_text,troops_host_drawback,troops_host_drawback_text,troops_remain_duration,troops_poland_gov,troops_protest,troops_protest_hypothetical,opp,Q_Language,Q_TotalDuration,rnid,study,PID,psid,K2,med,RISN,rid,Q_BallotBoxStuffing,Q_RelevantIDDuplicateScore,Q_RelevantIDDuplicate,Q_RecaptchaScore,Q_RelevantIDFraudScore,SVID,transaction_id,V,orderNumber,gc,term,tg,LS,PS,treatment_group,troops_100km,troops_5km,troops_100km_full,troops_5km_full,ideology_z
44987.684907407405,44987.68702546296,IP Address,100.0,183.0,True,44987.68703954861,R_XNgO1L9NZXyWtGN,anonymous,PL,I consent,Male,Yes,Secondary Education,35 to 44 years,Podkarpackie,Bieszczady,43 340 – 57 187,Self-employed (non-agricultural),Catholicism,NA,5.0,Somewhat support,Somewhat support,NA,NA,NA,NA,NA,NA,Very important,Very important,Very important,Somewhat agree,Somewhat agree,Very hostile,Very peaceful,Very favorable,Very favorable,A lot,Very positive,Neutral,Neutral,Some,Positive,Neutral,Very favorable,A lot,Very positive,Very favorable,Very positive,Very positive,Neutral,Very helpful,Very helpful,The presence of American military forces has greatly improved the government’s respect for human rights,No,NA,NA,No,NA,NA,No,NA,No,NA,Yes,Greater security from foreign threats,NA,No drawback,NA,As long as needed,Very positive,Never,No,Qual4159-0110-PolandStudy,PL,183,NA,NA,NA,3b0ff5ce-b887-070b-046b-50822a2efd6d,NA,{Invalid Expression},NA,NA,NA,NA,NA,NA,NA,14302052,1uHalSCzgQ6WDTwkbINugn,NA,NA,1,NA,NA,{Invalid Expression},497,Control,Support,Support,Somewhat support,Somewhat support,-0.13926170230143145
44987.68892361111,44987.691157407404,IP Address,100.0,192.0,True,44987.69116429398,R_30tVyK5EwKWlQnt,anonymous,PL,I consent,Female,Yes,Higher Education (Bachelor/Engineer),25 to 34 years,Pomorskie,Słupsk,0 – 43 339,Full-time or contract work in the private sector,Catholicism,NA,3.0,NA,NA,NA,NA,Strongly support,Somewhat support,NA,NA,Neutral,Neutral,Somewhat important,Neither agree nor disagree,Somewhat agree,Somewhat peaceful,Neutral,Somewhat favorable,Somewhat favorable,A little,Negative,Somewhat unfavorable,Neutral,A little,Neither Positive nor Negative,Neutral,Somewhat unfavorable,A little,Neither Positive nor Negative,Neutral,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat helpful,Neutral,The presence of American military forces has somewhat worsened the government’s respect for human rights,No,NA,NA,No,NA,NA,Yes,Not reliant at all,No,NA,Yes,No benefits,NA,Don’t know / Decline to answer,NA,Longer than 3 years,Somewhat positive,One time,No,Qual4159-0110-PolandStudy,PL,192,NA,NA,NA,2f1d1c49-f5ec-b118-52f9-6d3452b325b5,NA,{Invalid Expression},NA,NA,NA,NA,NA,NA,NA,14302052,3gLJPva52IrMCTPzlEjKp9,NA,NA,1,NA,NA,{Invalid Expression},497,Economic,Support,Support,Strongly support,Somewhat support,-0.5695507728804955
44987.688310185185,44987.691157407404,IP Address,100.0,245.0,True,44987.69117280093,R_3Hv8FUK6BVgRHi6,anonymous,PL,I consent,Male,No,Higher Education (Master’s degree or higher),35 to 44 years,Małopolskie,Olkusz,57 188 –  74 062,Full-time or contract work in the private sector,Catholicism,NA,6.0,Strongly support,Strongly support,NA,NA,NA,NA,NA,NA,Very important,Very important,Very important,Strongly disagree,Strongly Agree,Very hostile,Very peaceful,Very favorable,Very favorable,A lot,Very positive,Very favorable,Somewhat unfavorable,A little,Neither Positive nor Negative,Very favorable,Somewhat favorable,A lot,Positive,Very favorable,Very positive,Very positive,Very positive,Very helpful,Very helpful,Neutral / No change,No,NA,NA,No,NA,NA,No,NA,No,NA,Yes,Greater security from foreign threats,NA,No drawback,NA,As long as needed,Very positive,Never,No,Qual4159-0110-PolandStudy,PL,245,NA,NA,NA,bc325047-ca07-f922-7370-ea4bf35f8dfe,NA,{Invalid Expression},NA,NA,NA,NA,NA,NA,NA,14302052,6wkx1m10GnCVWRhTkjT3X9,NA,NA,1,NA,NA,{Invalid Expression},497,Control,Support,Support,Strongly support,Strongly support,0.0758828329881006
44987.6896875,44987.691516203704,IP Address,100.0,158.0,True,44987.691529386575,R_1jpm3tsdV4g1UXY,anonymous,PL,I consent,Female,No,Secondary Education,25 to 34 years,Dolnośląskie,Ząbkowice Śląskie,57 188 –  74 062,Self-employed (non-agricultural),Decline to answer,NA,7.0,Neither support nor oppose,Neither support nor oppose,NA,NA,NA,NA,NA,NA,Neutral,Neutral,Neutral,Neither agree nor disagree,Neither agree nor disagree,Neutral,Neutral,Neutral,Neutral,None,Neither Positive nor Negative,Somewhat unfavorable,Neutral,Don’t know/Decline to answer,Don’t know/Decline to answer,Neutral,Neutral,Don’t know/Decline to answer,Neither Positive nor Negative,Neutral,Somewhat negative,Neutral,Neutral,Neutral,Neutral,Neutral / No change,Don’t know/Decline to answer,NA,NA,Don’t know/Decline to answer,NA,NA,Don’t know/Decline to answer,NA,No,NA,Don’t know/Decline to answer,Reduced crime,NA,Decreased security from foreign threats,NA,No preference,Very negative,Don’t know/Decline to answer,Don’t know/Decline to answer,Qual4159-0110-PolandStudy,PL,158,NA,NA,NA,f1e5c45f-faaf-f1de-bc99-3b1588efce3b,NA,{Invalid Expression},NA,NA,NA,NA,NA,NA,NA,14302052,3yOO8y3Fv7WESiKeAFIAjV,NA,NA,1,NA,NA,{Invalid Expression},497,Control,Neutral,Neutral,Neutral,Neutral,0.29102736827763265
44987.68603009259,44987.692245370374,IP Address,100.0,537.0,True,44987.69225930556,R_3HHN4tcX6wPTsyw,anonymous,PL,I consent,Male,No,Vocational School,45 to 54 years,Dolnośląskie,Wrocław,74 063 – 93 937,Full-time or contract work in the private sector,Catholicism,NA,7.0,NA,NA,Strongly support,Strongly support,NA,NA,NA,NA,Very important,Very important,Very important,Somewhat agree,Somewhat agree,Somewhat hostile,Very peaceful,Somewhat favorable,Somewhat favorable,A lot,Positive,Neutral,Somewhat favorable,None,Don’t know/Decline to answer,Neutral,Very unfavorable,None,Very Negative,Very favorable,Very positive,Very positive,Neutral,Very helpful,Somewhat unhelpful,Neutral / No change,No,NA,NA,No,NA,NA,No,NA,No,NA,Yes,Greater security from foreign threats,NA,No drawback,NA,As long as needed,Neutral,Never,No,Qual4159-0110-PolandStudy,PL,537,NA,NA,NA,f9f43cc1-012f-96d1-3014-c781f570c815,NA,{Invalid Expression},NA,NA,NA,NA,NA,NA,NA,14302052,5ZmXGjGqsqPXXuCMEe4ndO,NA,NA,1,NA,NA,{Invalid Expression},497,Security and Economic,Support,Support,Strongly support,Strongly support,0.29102736827763265
44987.68980324074,44987.69232638889,IP Address,100.0,218.0,True,44987.69234101852,R_22KBAezMwX6boP3,anonymous,PL,I consent,Male,No,Higher Education (Master’s degree or higher),45 to 54 years,Podkarpackie,Przemyśl (City),93 938 +,Full-time or contract work in the private sector,Other,nie,5.0,NA,NA,NA,NA,NA,NA,Strongly oppose,Strongly oppose,Very important,Very important,Very important,Strongly disagree,Strongly Agree,Very hostile,Very hostile,Very unfavorable,Very unfavorable,A lot,Very Negative,Very unfavorable,Very favorable,None,Very positive,Very unfavorable,Very favorable,A lot,Very positive,Very unfavorable,Very negative,Very negative,Very negative,Very unhelpful,Very unhelpful,The presence of American military forces has greatly worsened the government’s respect for human rights,No,NA,NA,No,NA,NA,No,NA,No,NA,No,No benefits,NA,Decreased security from foreign threats,NA,No preference,Very negative,Never,Yes,Qual4159-0110-PolandStudy,PL,218,NA,NA,NA,59d9b3fe-d99a-5db1-15be-8c7ba487bb1f,NA,{Invalid Expression},NA,NA,NA,NA,NA,NA,NA,14302052,2xidO03uI3k2x0z8yM77f2,NA,NA,1,NA,NA,{Invalid Expression},497,Security,Oppose,Oppose,Strongly oppose,Strongly oppose,-0.13926170230143145
44987.68797453704,44987.692557870374,IP Address,100.0,396.0,True,44987.692571458334,R_XoCLMKK03GMa5SF,anonymous,PL,I consent,Male,No,Secondary Education,35 to 44 years,Mazowieckie,Warszawa,0 – 43 339,Other sources,Decline to answer,NA,4.0,Strongly support,Strongly support,NA,NA,NA,NA,NA,NA,Very important,Very important,Very important,Strongly disagree,Somewhat agree,Somewhat hostile,Somewhat peaceful,Very favorable,Very favorable,Some,Very positive,Somewhat favorable,Neutral,A little,Neither Positive nor Negative,Somewhat favorable,Neutral,Some,Neither Positive nor Negative,Very favorable,Somewhat positive,Neutral,Somewhat positive,Very helpful,Somewhat helpful,The presence of American military forces has greatly improved the government’s respect for human rights,No,NA,NA,No,NA,NA,No,NA,No,NA,Yes,Greater security from foreign threats,NA,No drawback,NA,As long as needed,Neutral,Never,No,Qual4159-0110-PolandStudy,PL,396,NA,NA,NA,ad1a0bca-3399-a3ca-b53e-496b71980c8a,NA,{Invalid Expression},NA,NA,NA,NA,NA,NA,NA,14302052,4rYReAOQ0z1yXCZ8VtJzoC,NA,NA,1,NA,NA,{Invalid Expression},497,Control,Support,Support,Strongly support,Strongly support,-0.35440623759096346
44987.687731481485,44987.69274305556,IP Address,100.0,432.0,True,44987.69275887732,R_BWiYFHHKV3DyZu9,anonymous,PL,I consent,Male,No,Secondary Education,45 to 54 years,Mazowieckie,Warszawa,93 938 +,Full-time or contract work in the private sector,Agnostic/Atheist,NA,4.0,NA,NA,NA,NA,Strongly support,Strongly support,NA,NA,Very important,Very important,Very important,Somewhat disagree,Somewhat agree,Very hostile,Very peaceful,Very favorable,Somewhat favorable,A lot,Very positive,Very favorable,Somewhat unfavorable,A little,Negative,Very favorable,Somewhat favorable,A lot,Positive,Very favorable,Very positive,Very positive,Neutral,Very helpful,Somewhat helpful,The presence of American military forces has somewhat improved the government’s respect for human rights,No,NA,NA,No,NA,NA,No,NA,No,NA,Yes,Greater security from foreign threats,NA,No drawback,NA,As long as needed,Very positive,Never,No,Qual4159-0110-PolandStudy,PL,432,NA,NA,NA,8db2eadb-056c-368e-dd27-c0c4c4f07a5d,NA,{Invalid Expression},NA,NA,NA,NA,NA,NA,NA,14302052,17S19k9KFieim6kh6pVClh,NA,NA,1,NA,NA,{Invalid Expression},497,Economic,Support,Support,Strongly support,Strongly support,-0.35440623759096346
44987.68895833333,44987.69280092593,IP Address,100.0,331.0,True,44987.692811747685,R_vl94fuJownupjJn,anonymous,PL,I consent,Female,No,Higher Education (Master’s degree or higher),55 to 64 years,Wielkopolskie,Poznań (City),43 340 – 57 187,Pension or retirement,Catholicism,NA,3.0,NA,NA,Strongly support,Somewhat support,NA,NA,NA,NA,Very important,Very important,Very important,Strongly disagree,Somewhat disagree,Somewhat hostile,Neutral,Very favorable,Somewhat favorable,A little,Positive,Neutral,Neutral,A little,Neither Positive nor Negative,Neutral,Somewhat favorable,Some,Neither Positive nor Negative,Very favorable,Somewhat positive,Somewhat positive,Neutral,Somewhat helpful,Somewhat unhelpful,Neutral / No change,No,NA,NA,No,NA,NA,No,NA,No,NA,Yes,Greater security from foreign threats,NA,Don’t know / Decline to answer,NA,As long as needed,Neutral,Never,No,Qual4159-0110-PolandStudy,PL,331,NA,NA,NA,6e431975-ce56-1abf-439f-5b51836361cc,NA,{Invalid Expression},NA,NA,NA,NA,NA,NA,NA,14302052,5Z53rQH1ibu3KVsKXPgDz3,NA,NA,1,NA,NA,{Invalid Expression},497,Security and Economic,Support,Support,Strongly support,Somewhat support,-0.5695507728804955
44987.691354166665,44987.693402777775,IP Address,100.0,176.0,True,44987.6934090625,R_3P5d0qgRmZVGF53,anonymous,PL,I consent,Female,No,Secondary Education,18 to 24 years,Warmińsko-Mazurskie,Olsztyn (City),93 938 +,Full-time or contract work in the private sector,Other,żadna,6.0,NA,NA,Neither support nor oppose,Neither support nor oppose,NA,NA,NA,NA,Somewhat important,Neutral,Neutral,Somewhat disagree,Somewhat agree,Don't know/decline to answer,Neutral,Neutral,Neutral,A little,Negative,Somewhat unfavorable,Somewhat favorable,Some,Negative,Somewhat unfavorable,Somewhat unfavorable,A little,Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral / No change,Yes,Had a U.S. service member as a family member (other than a spouse),NA,No,NA,NA,Don’t know/Decline to answer,NA,Don’t know/Decline to answer,NA,No,Don’t know / Decline to answer,NA,No drawback,NA,6-12 months,Neutral,More than three times,Maybe,Qual4159-0110-PolandStudy,PL,176,NA,NA,NA,31d32639-e66d-c03e-3de6-f1d917d95fd6,NA,{Invalid Expression},NA,NA,NA,NA,NA,NA,NA,14302052,7ibKsgeA2gM6oyhFtswN79,NA,NA,1,NA,NA,{Invalid Expression},497,Security and Economic,Neutral,Neutral,Neutral,Neutral,0.0758828329881006
